duracion,station_A_id,station_A_name,station_B_id,station_B_name,id_cicla,edad,usuario_tipo,año_nacimiento,genero
4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),22,Howard St at Beale St,97,16,1,1979,Female
9 minutes,81,Berry St at 4th St,11,Davis St at Jackson St,5112,33,2,1980,Male
7 minutes,22,Howard St at Beale St,50,2nd St at Townsend St,1594,57,3,1994,Male
7 minutes,5,Powell St BART Station (Market St at 5th St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),2894,65,1,1985,Female
6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),363,Salesforce Transit Center (Natoma St at 2nd St),5020,34,3,1974,Female
4 minutes,16,Steuart St at Market St,28,The Embarcadero at Bryant St,2338,19,1,1956,Male
7 minutes,3,Powell St BART Station (Market St at 4th St),13,Commercial St at Montgomery St,4738,16,1,1980,Male
11 minutes,16,Steuart St at Market St,104,4th St at 16th St,5125,58,2,1965,Female
10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,119,51,1,1991,Female
9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),19,Post St at Kearny St,3004,26,3,1983,Male
28 minutes,21,Montgomery St BART Station (Market St at 2nd St),21,Montgomery St BART Station (Market St at 2nd St),1217,40,2,1986,Male
12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),136,23rd St at San Bruno Ave,5498,37,1,1994,Female
4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,5249,64,1,1986,Female
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),14,Clay St at Battery St,5243,22,2,1968,Male
12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,3246,22,2,1985,Male
12 minutes,5,Powell St BART Station (Market St at 5th St),104,4th St at 16th St,4749,59,2,1990,Male
